id,texto,fecha,likes,retweets,respuestas,impresiones,idioma,autor_id,tema,longitud_texto,contiene_hashtags,num_hashtags,contiene_menciones,num_menciones,contiene_url,es_retweet,num_palabras,es_mayusculas,tiene_signos_exclamacion,tiene_signos_pregunta,engagement_total,ratio_like_retweet,sesgo_politico,sesgo_confirmacion,lenguaje_emocional,contiene_desinformacion,polarizacion,contiene_corrupción,contiene_dictadura,contiene_democracia,contiene_fraude,contiene_mentira,contiene_verdad,contiene_traición,contiene_patriota,contiene_socialismo,contiene_capitalismo,contiene_libertad,contiene_opresión,TipoSesgo
1985755534935359929,"RT @ExpresoPeru: 🔴 Narcogobierno mexicano asila a golpista Chávez | ""Habiendo protegido a Evo Morales, Jorge Glas y ahora con el caso Betss…",2025-11-04 17:06:27+00:00,0,9,0,0,es,1381497131278696451,política México OR política España OR política opinión lang:es -is:retweet,140,0,0,1,1,0,1,23,0,0,0,9,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Sin Clasificar
1985755519626461199,https://t.co/jOqUbzOkWA,2025-11-04 17:06:24+00:00,1,0,0,0,zxx,207199005,política México OR política España OR política opinión lang:es -is:retweet,23,0,0,0,0,1,0,1,0,0,0,1,1.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Sin Clasificar
1985755508855210042,"RT @MashiRafael: Error: se encuentra recluido en La Roca por persecución política y odio de Diana Salazar.
El Caso Reconstrucción, por el q…",2025-11-04 17:06:21+00:00,0,350,0,0,es,975950693948420097,política México OR política España OR política opinión lang:es -is:retweet,140,0,0,1,1,0,1,23,0,0,0,350,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Apelación Emocional
1985755505621639568,RT @DanteBobadilla: Buen aclare de @CesarNakazaki sobre el asilo de Betsy Chávez: no es una perseguida política. Está huyendo de la justici…,2025-11-04 17:06:20+00:00,0,137,0,0,es,71313981,política México OR política España OR política opinión lang:es -is:retweet,140,0,0,1,2,0,1,22,0,0,0,137,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Sin Clasificar
1985755497320841409,"RT @elgatopolitico_: 🔴🔴¡Así se habla!
Tras el anuncio de Perú de romper relaciones con México, por darle asilo político a Betssy Chávez, ex…",2025-11-04 17:06:18+00:00,0,91,0,0,es,1082136781095686149,política México OR política España OR política opinión lang:es -is:retweet,140,0,0,1,1,0,1,23,0,1,0,91,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Sin Clasificar
1985755496419107049,RT @El_Plural: Sumar y Podemos ven “lawfare” en el juicio al fiscal general y piden que Ayuso se centre en su “clan de corrupción” https://…,2025-11-04 17:06:18+00:00,0,36,0,0,es,302429852,política México OR política España OR política opinión lang:es -is:retweet,140,0,0,1,1,1,1,25,0,0,0,36,0.0,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,Apelación Emocional
1985755493638328482,RT @El_Plural: Las dos comidas secretas de Aznar con Mazón: “Tú no vas a dimitir. El PP no va a cargar con las muertes” https://t.co/RebO1G…,2025-11-04 17:06:17+00:00,0,994,0,0,es,1128923445088202752,política México OR política España OR política opinión lang:es -is:retweet,140,0,0,1,1,1,1,25,0,0,0,994,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Sin Clasificar
1985755480170336505,"RT @TheObjective_es: El Gobierno canario cree que Torres «mintió en sede parlamentaria» y pide «explicaciones».

https://t.co/1oNqrvWvFR",2025-11-04 17:06:14+00:00,0,18,0,0,es,1491495540139380740,política México OR política España OR política opinión lang:es -is:retweet,136,0,0,1,1,1,1,16,0,0,0,18,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Sin Clasificar
1985755479902187541,"RT @elgatopolitico_: 🔴🔴¡Así se habla!
Tras el anuncio de Perú de romper relaciones con México, por darle asilo político a Betssy Chávez, ex…",2025-11-04 17:06:14+00:00,0,91,0,0,es,3662886074,política México OR política España OR política opinión lang:es -is:retweet,140,0,0,1,1,0,1,23,0,1,0,91,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Sin Clasificar
1985755477289107758,"RT @Arturo_Sarukhan: Y los hitos diplomáticos que seguimos marcando y acumulando con la política exterior de la 4T, en la región en la que…",2025-11-04 17:06:13+00:00,0,50,0,0,es,80102969,política México OR política España OR política opinión lang:es -is:retweet,139,0,0,1,1,0,1,24,0,0,0,50,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Sin Clasificar
